Date,Time,DateTime,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s),Temperature (C)
2025-08-25,0:00:00,8/25/25 0:00,15.1,167.75,-14.76,3.2,20.3664
2025-08-25,0:15:00,8/25/25 0:15,15.11,167.58,-14.75,3.25,20.3377
2025-08-25,0:30:00,8/25/25 0:30,15.11,167.63,-14.76,3.24,20.3254
2025-08-25,0:45:00,8/25/25 0:45,15.1,167.65,-14.76,3.23,20.3158
2025-08-25,1:00:00,8/25/25 1:00,15.11,167.75,-14.76,3.2,20.3049
2025-08-25,1:15:00,8/25/25 1:15,15.1,167.6,-14.75,3.24,20.2967
2025-08-25,1:30:00,8/25/25 1:30,15.03,172.13,-14.89,2.06,20.2912
2025-08-25,1:45:00,8/25/25 1:45,15.02,172.01,-14.88,2.09,20.283
2025-08-25,2:00:00,8/25/25 2:00,15.02,172.02,-14.88,2.09,20.2775
2025-08-25,2:15:00,8/25/25 2:15,15.02,172.03,-14.88,2.08,20.272
2025-08-25,2:30:00,8/25/25 2:30,15.02,172.06,-14.88,2.08,20.2693
2025-08-25,2:45:00,8/25/25 2:45,15.02,172.28,-14.88,2.02,20.2666
2025-08-25,3:00:00,8/25/25 3:00,15.02,172.16,-14.88,2.05,20.2666
2025-08-25,3:15:00,8/25/25 3:15,15.02,172.07,-14.87,2.07,20.2666
2025-08-25,3:30:00,8/25/25 3:30,15.02,172.02,-14.87,2.09,20.2666
2025-08-25,3:45:00,8/25/25 3:45,15.02,172.45,-14.89,1.97,20.2666
2025-08-25,4:00:00,8/25/25 4:00,15.02,172.4,-14.88,1.99,20.2679
2025-08-25,4:15:00,8/25/25 4:15,15.02,172.47,-14.89,1.97,20.2679
2025-08-25,4:30:00,8/25/25 4:30,15.02,172.43,-14.88,1.98,20.272
2025-08-25,4:45:00,8/25/25 4:45,15.02,172.29,-14.88,2.01,20.2761
2025-08-25,5:00:00,8/25/25 5:00,15.02,172.3,-14.88,2.01,20.2789
2025-08-25,5:15:00,8/25/25 5:15,15.01,172.27,-14.88,2.02,20.2816
2025-08-25,5:30:00,8/25/25 5:30,15.01,172.34,-14.88,2,20.2843
2025-08-25,5:45:00,8/25/25 5:45,15.01,172.32,-14.88,2.01,20.2912
2025-08-25,6:00:00,8/25/25 6:00,15.01,172.33,-14.88,2,20.2953
2025-08-25,6:15:00,8/25/25 6:15,15.01,172.31,-14.88,2.01,20.3008
2025-08-25,6:30:00,8/25/25 6:30,15.01,172.29,-14.88,2.01,20.3035
2025-08-25,6:45:00,8/25/25 6:45,15.01,172.3,-14.88,2.01,20.3049
2025-08-25,7:00:00,8/25/25 7:00,15.01,172.52,-14.89,1.96,20.3117
2025-08-25,7:15:00,8/25/25 7:15,15.01,172.37,-14.88,1.99,20.3172
2025-08-25,7:30:00,8/25/25 7:30,15.01,172.49,-14.88,1.96,20.324
2025-08-25,7:45:00,8/25/25 7:45,15.01,172.5,-14.89,1.96,20.3281
2025-08-25,8:00:00,8/25/25 8:00,15.01,172.5,-14.88,1.96,20.3336
2025-08-25,8:15:00,8/25/25 8:15,15.01,172.47,-14.89,1.97,20.3377
2025-08-25,8:30:00,8/25/25 8:30,15.01,172.46,-14.88,1.97,20.3391
2025-08-25,8:45:00,8/25/25 8:45,15.01,172.47,-14.88,1.97,20.3445
2025-08-25,9:00:00,8/25/25 9:00,15.01,172.5,-14.88,1.96,20.35
2025-08-25,9:15:00,8/25/25 9:15,15.01,172.47,-14.89,1.97,20.3568
2025-08-25,9:30:00,8/25/25 9:30,15.01,172.47,-14.88,1.97,20.3623
2025-08-25,9:45:00,8/25/25 9:45,15.01,172.49,-14.88,1.96,20.3705
2025-08-25,10:00:00,8/25/25 10:00,13.94,198.71,-13.2,-4.47,20.3746
2025-08-25,10:15:00,8/25/25 10:15,142.68,187.86,-141.34,-19.52,20.3856
2025-08-25,10:30:00,8/25/25 10:30,15,197.13,-14.33,-4.42,20.5525
2025-08-25,10:45:00,8/25/25 10:45,138.13,152.98,-123.06,62.74,20.766
2025-08-25,11:00:00,8/25/25 11:00,98.52,189.54,-97.16,-16.33,20.9426
2025-08-25,11:15:00,8/25/25 11:15,87.66,189.45,-86.47,-14.39,21.1344
2025-08-25,11:30:00,8/25/25 11:30,96.27,176.3,-96.07,6.21,21.3427
2025-08-25,11:45:00,8/25/25 11:45,155.52,352.36,154.14,-20.68,21.562
2025-08-25,12:00:00,8/25/25 12:00,155.71,348.83,152.75,-30.17,21.7677
2025-08-25,12:15:00,8/25/25 12:15,154.72,343.97,148.7,-42.71,21.9626
2025-08-25,12:30:00,8/25/25 12:30,89.73,84.83,8.09,89.36,22.1672
2025-08-25,12:45:00,8/25/25 12:45,125.23,123.56,-69.22,104.36,22.3788
2025-08-25,13:00:00,8/25/25 13:00,137.05,111.12,-49.38,127.84,22.5548
2025-08-25,13:15:00,8/25/25 13:15,132.69,108.16,-41.36,126.08,22.7749
2025-08-25,13:30:00,8/25/25 13:30,134.86,102.37,-28.89,131.73,22.9801
2025-08-25,13:45:00,8/25/25 13:45,135.99,118.54,-64.97,119.46,23.1193
2025-08-25,14:00:00,8/25/25 14:00,143.6,110.06,-49.25,134.89,23.1758
2025-08-25,14:15:00,8/25/25 14:15,161.33,102.81,-35.76,157.32,23.162
2025-08-25,14:30:00,8/25/25 14:30,120.24,80.42,20.02,118.56,23.0986
2025-08-25,14:45:00,8/25/25 14:45,152.9,182.34,-152.77,-6.25,22.9677
2025-08-25,15:00:00,8/25/25 15:00,174.6,334.37,157.41,-75.53,22.8548
2025-08-25,15:15:00,8/25/25 15:15,15.37,26.51,13.75,6.86,22.8369
2025-08-25,15:30:00,8/25/25 15:30,17.42,184.65,-17.36,-1.41,22.9471
2025-08-25,15:45:00,8/25/25 15:45,139.07,23.92,127.12,56.39,23.0655
2025-08-25,16:00:00,8/25/25 16:00,135.95,36.49,109.29,80.85,23.1606
2025-08-25,16:15:00,8/25/25 16:15,137.55,14.36,133.25,34.11,23.2806
2025-08-25,16:30:00,8/25/25 16:30,135.77,15.24,131,35.7,23.4061
2025-08-25,16:45:00,8/25/25 16:45,136.36,12.11,133.32,28.6,23.5276
2025-08-25,17:00:00,8/25/25 17:00,150.8,330.22,130.88,-74.9,23.645
2025-08-25,17:15:00,8/25/25 17:15,14.97,248.17,-5.57,-13.9,23.7832
2025-08-25,17:30:00,8/25/25 17:30,14.95,247.45,-5.74,-13.81,23.9132
2025-08-25,17:45:00,8/25/25 17:45,14.95,247.74,-5.67,-13.84,24.0252
2025-08-25,18:00:00,8/25/25 18:00,14.96,248.17,-5.56,-13.89,24.0848
2025-08-25,18:15:00,8/25/25 18:15,14.96,247.17,-5.8,-13.79,24.1069
2025-08-25,18:30:00,8/25/25 18:30,14.96,246.19,-6.04,-13.69,24.1
2025-08-25,18:45:00,8/25/25 18:45,14.97,246.17,-6.05,-13.69,24.0737
2025-08-25,19:00:00,8/25/25 19:00,14.97,246.31,-6.01,-13.71,24.0405
2025-08-25,19:15:00,8/25/25 19:15,14.94,246.14,-6.05,-13.67,24.0017
2025-08-25,19:30:00,8/25/25 19:30,15.14,236.06,-8.45,-12.56,23.9685
2025-08-25,19:45:00,8/25/25 19:45,15.19,214.46,-12.52,-8.59,23.9381
2025-08-25,20:00:00,8/25/25 20:00,15.17,214.01,-12.58,-8.49,23.9187
2025-08-25,20:15:00,8/25/25 20:15,15.35,118.43,-7.31,13.5,23.9118
2025-08-25,20:30:00,8/25/25 20:30,15.49,119.38,-7.6,13.5,23.9215
2025-08-25,20:45:00,8/25/25 20:45,151.1,355.08,150.54,-12.95,23.9381
2025-08-25,21:00:00,8/25/25 21:00,53.72,76.32,12.7,52.19,26.0475
